,0.6666666666666666,1.0,0.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.8888888888888888,0.5555555555555556,0.1111111111111111,0.7777777777777777
0,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
1,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
2,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
3,reject,reject,accept,reject,reject,accept,reject,reject,accept,reject
4,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
5,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
6,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
7,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
8,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
9,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
10,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
11,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
12,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
13,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
14,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
15,reject,reject,accept,reject,accept,reject,reject,accept,reject,reject
16,reject,reject,accept,reject,reject,accept,reject,reject,accept,reject
17,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
18,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
19,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
20,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
21,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
22,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
23,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
24,reject,reject,accept,accept,accept,reject,reject,reject,reject,reject
25,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
26,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
27,reject,accept,accept,reject,reject,reject,reject,reject,accept,reject
28,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
29,reject,reject,accept,reject,reject,reject,reject,accept,accept,reject
30,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
31,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
32,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
33,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
34,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
35,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
36,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
37,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
38,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
39,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
40,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
41,reject,reject,accept,accept,accept,reject,reject,reject,accept,reject
42,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
43,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
44,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
45,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
46,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
47,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
48,reject,reject,accept,accept,accept,reject,reject,reject,reject,reject
49,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
50,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
51,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
52,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
53,accept,reject,accept,reject,reject,reject,reject,reject,accept,reject
54,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
55,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
56,accept,reject,accept,accept,reject,reject,reject,reject,reject,reject
57,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
58,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
59,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
60,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
61,reject,reject,accept,reject,accept,accept,reject,reject,accept,accept
62,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
63,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
64,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
65,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
66,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
67,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
68,reject,reject,accept,reject,reject,reject,reject,accept,accept,reject
69,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
70,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
71,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
72,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
73,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
74,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
75,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
76,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
77,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
78,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
79,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
80,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
81,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
82,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
83,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
84,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
85,reject,reject,accept,reject,reject,accept,reject,accept,accept,reject
86,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
87,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
88,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
89,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
90,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
91,reject,reject,accept,accept,reject,accept,reject,reject,accept,reject
92,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
93,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
94,reject,reject,accept,reject,reject,accept,reject,reject,reject,reject
95,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
96,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
97,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
98,reject,reject,accept,reject,reject,accept,reject,reject,accept,reject
99,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
100,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
101,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
102,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
103,reject,reject,accept,reject,accept,reject,reject,reject,accept,accept
104,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
105,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
106,reject,reject,accept,reject,accept,reject,reject,accept,reject,reject
107,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
108,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
109,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
