,sac,ddpg,ppo,trpo,sac_lower,sac_upper,ddpg_lower,ddpg_upper,ppo_lower,ppo_upper,trpo_lower,trpo_upper
0,992.4695454280001,947.1778846678668,265.4215153613474,-1319.8055430519403,989.8874994141668,994.9560511740333,939.0332783919632,954.988607055072,217.35428936393177,314.7362758774957,-1899.1750149520062,-892.9162083013347
100000,772.2709008386666,574.7777125494636,265.4215153613474,-1097.310835963295,701.0141197025,838.9971764161332,501.4407454261608,646.5438591564815,217.29298207385793,314.01993234875306,-1666.6525029777463,-645.3714055486306
200000,1433.3439067826669,460.38380271923955,1009.953536263285,-815.5073705505644,1238.3964903913,1638.8103705360006,391.5548121699601,524.7318960328704,911.7241977538272,1122.8205718659203,-1235.5972840363336,-470.88313265747996
300000,2081.181132902667,447.61437225310397,1473.9469406831297,-461.38070328845373,1765.0773619797667,2408.040117092367,364.59181251493277,531.9869982955312,1318.7557490588342,1653.566471893913,-704.8520134134318,-260.60840795611267
400000,2424.5693654639995,624.119591340663,1869.9291250938174,-287.03208777066936,2009.9482135038008,2851.022146764201,484.9129505152886,762.5463783645688,1620.5113942548944,2152.2838051798412,-428.91601404893834,-162.27762363951035
500000,2846.3017572293334,790.5346058027122,2212.0441583916554,-219.92249083732142,2492.6585258508667,3192.6786184085336,599.73316114022,988.7755779093641,1886.0599937889795,2546.169367293845,-330.41409432433045,-117.72018316555673
600000,3177.643375036,949.7019556028674,2519.409218734281,-139.70435204924087,2723.920991463967,3629.9006393479003,696.3250660766645,1216.897605075605,2120.066430101497,2923.0125681563445,-218.1765921565311,-67.03623790279191
700000,3543.140510644,1204.1752157018411,2709.5854327492593,-84.15938950566695,3029.8216561573336,4050.9935609621343,857.5212461034806,1619.0643584067561,2283.3181618272492,3133.0386681945824,-147.57443761536908,-24.120298581808143
800000,3679.145884076,1144.8713975187816,2810.84762793028,-4.636868512485979,3211.214304648933,4128.1503944122005,764.5412693993358,1533.3758344357018,2371.2938180832593,3253.5103697404443,-88.18243183429676,84.57984468047009
900000,3848.5304625919994,1090.9457668903458,2974.308269847676,125.83424836179537,3385.892500219866,4299.257445943467,640.9328539479176,1542.7140191801197,2497.903064023709,3449.1700032753056,-10.318430380602727,272.7563624006224
1000000,3978.5817228253336,883.3839962143225,3091.6704597052235,260.75994359963437,3468.3744687471335,4436.8821013039,406.8914576731209,1372.3699362189657,2605.6192817553238,3575.816597868634,81.75787427704245,446.9025257884464
1100000,4310.974341890666,1311.325291709159,3237.5021902086537,412.99565782328517,3815.1747545533663,4801.263448081332,638.2984042438889,2003.4529673249376,2721.3278405134183,3751.1434419194034,187.1469490095926,646.3907438598338
1200000,4098.3305207719995,1088.814540288579,3256.9850254212597,569.4861660113388,3489.4529352505333,4702.583772607201,293.24421365158247,1949.3988562396319,2729.7724795703693,3770.8421992244616,283.36934150200295,864.2855918646336
1300000,4198.373852754667,868.0159216138103,3322.580277688617,830.9761554892397,3735.321554574467,4648.886013806734,181.2131507802634,1595.3339253215015,2785.03510641326,3846.3880214834926,477.59413043240625,1200.530699339451
1400000,4206.746627309334,1395.8611702124153,3392.5786041726774,1052.9872415314608,3555.2001420443676,4829.522437822867,635.9812961926566,2159.7751617042804,2841.7636573882282,3927.665494380527,670.1446640725239,1445.078181161259
1500000,4507.823100802667,988.8217975270962,3468.327282215026,1244.6866820118764,3916.505552913834,5031.792910701668,237.86144336339407,1761.7323941580396,2892.759531225734,4028.843151686076,861.1674201557527,1621.0923927085958
1600000,4395.086113026667,81.56246130167179,3493.863397941037,1446.1240940208781,3754.884622719234,4997.965222197634,-500.83573676079897,724.0534203285282,2915.7354307699593,4049.4215558283913,1022.5181265030051,1886.0585159342988
1700000,4621.500776761333,140.4125376760974,3474.9737065502413,1656.199133512187,4035.3843538956,5179.683616482566,-511.5666363708197,908.497332879007,2902.1916840575245,4025.7383551056237,1181.8846418462824,2133.0130787952294
1800000,4168.916178372,896.7670935819917,3563.8696713026443,1811.3045781443368,3439.6535422930338,4853.962079598934,5.989944243539679,1806.7973196068986,2986.1618340788905,4129.70529640594,1351.2857999401554,2248.10112683148
1900000,5043.399663870666,644.5254578139201,3578.9704974434776,1919.7061801503307,4566.5298117683,5490.4891614061,-7.55449439491521,1311.4611222283354,2991.400445108809,4158.9334766634,1406.7904644691018,2417.016199010013
2000000,4422.8332951093325,635.6037894976344,3563.2262168617603,2025.8709477939997,3697.620193328333,5116.027429781634,48.02262252744531,1240.1583799337222,2990.199806070557,4124.34449465826,1546.2651432813618,2483.614950348837
