,sac,ddpg,ppo,trpo,sac_lower,sac_upper,ddpg_lower,ddpg_upper,ppo_lower,ppo_upper,trpo_lower,trpo_upper
0,-1.18766504,-13.809408582779573,296.7086790203873,-1382.2975266190406,-1.584785416,-0.81989374,-16.42089079225757,-11.193415339186616,264.4662921864059,328.15051452037693,-1490.5934324966634,-1279.7711554187656
100000,5143.263704047999,1015.7655341381073,296.7086790203873,-366.1984479753474,4544.998014512,5741.529393584,932.5643366732784,1088.3715318953907,264.11009200632003,328.1534015188652,-424.0640375180726,-306.0117767916805
200000,6360.858466096,1335.5325773811483,1024.6178204260088,370.05891753387215,5480.969442872,7240.74748932,1184.0265010381077,1451.474779976414,927.736780685947,1111.1779067073837,241.59389191108434,509.90033267908404
300000,7025.679171828,1771.8662514747796,1420.8136322581006,1094.0045098345693,5878.254621216,8173.103722440001,1611.5509339456814,1985.252699074351,1265.4426898981353,1586.8174017262993,893.7015297997585,1298.4493779484585
400000,7323.637214476,2305.5704932602853,1731.2713533029253,1646.9444352635621,5949.9466081519995,8637.237934356,1971.5592753331402,2693.7880627064724,1541.7301101915202,1942.180779984345,1401.1228490374708,1898.838125069236
500000,7419.2622374600005,2975.812764078883,1976.3941810193453,2162.706239297195,5814.267249703999,8963.183311512,2476.331160195614,3509.2048900810405,1745.5500210910013,2224.460628759222,1850.6520852427375,2467.1462754461786
600000,7991.443959327999,3429.962500427551,2096.3913585389037,2566.638651209412,6480.9576559160005,9358.327508127999,2846.041284698453,4038.390063885437,1834.9801341824204,2378.4414153311,2245.053014250853,2888.640796034172
700000,8577.276572724,3989.7303993814853,2225.65349079007,2838.8726339711798,7020.5609269,10133.992218547999,3286.658837298633,4700.216197532933,1954.6582075133556,2505.650893445244,2454.494392730223,3216.248000900712
800000,8714.403286583998,4540.883822400016,2385.4154590448256,3175.6127265650543,7295.289983395999,9936.919215776,3749.3285981611493,5322.695089532362,2071.6860370921263,2717.35879609206,2740.495089153779,3604.9484359757107
900000,9314.360340156001,4782.565701612373,2489.0361819884392,3416.4709943058924,7691.324123628001,10810.886753511999,3955.5765384984256,5583.758903354492,2155.845820647058,2835.3081250220066,2996.6302843541584,3829.7518103892144
1000000,9706.719104580001,5049.90112367021,2478.7996665680043,3599.952924321573,8542.459556160002,10742.511854812,4191.362167693058,5865.125461700308,2161.649660291446,2806.7492535892125,3157.6505300887625,4031.342583094091
