,sac,ddpg,ppo,trpo,sac_lower,sac_upper,ddpg_lower,ddpg_upper,ppo_lower,ppo_upper,trpo_lower,trpo_upper
0,35.439674382,47.503612102352044,301.49490787315915,15.834318923896248,26.022292647325,46.35071363607501,31.672670152716044,65.99920087435657,257.54196159952767,343.04069928624233,10.62535391016364,22.070542540536945
100000,753.990601313,137.9791336625769,301.49490787315915,336.6169913907357,608.40094922155,919.898136907325,110.12937873045551,164.11820249267603,258.3107936071654,343.375360581393,261.274985089254,438.0005085459802
200000,1384.8734994800002,241.4433635398118,1037.8228670492608,484.8104700003993,1026.0936831207753,1758.310060759825,200.28573358263668,284.91517626358814,897.3652341026867,1163.4263928015077,362.05561380149487,634.4966218979185
300000,2124.7088988299997,316.94157430112034,1483.6710163525142,692.4820766091538,1701.8746636940753,2528.3925812146254,250.20134066315046,404.31805275562886,1257.1242020775564,1719.8957242082004,492.47556107705776,936.0547157739209
400000,2409.9123523850003,362.1080781001681,1832.4364902804768,761.8292160588234,2010.37761048935,2789.282062614275,297.9364814918952,445.2346144897621,1570.0368193170862,2114.800580357232,563.0429972018832,988.490342603943
500000,2490.8451847420006,383.67338167938135,2090.7732858005884,914.9499018415858,2144.9064452646503,2823.6164349131755,321.29755790545124,446.3059681716933,1783.5753356435782,2417.4447328304545,670.5083744560263,1182.86764034347
600000,2402.0547180559997,389.7596301950249,2213.744383104266,1024.6528447827347,2019.5428773045999,2765.733780576575,299.5508217855024,482.73982076620143,1865.8909421817586,2578.580793409526,756.2076061366265,1315.8334617079279
700000,2232.7906301769995,546.3708467109335,2343.7180080639223,1145.9761089366189,1848.9091317537502,2612.58405292885,437.34546875102444,658.5908457640488,1997.504195569047,2699.9516784389825,830.7149914706159,1484.0216154886411
800000,3050.216344889,515.2812852338724,2528.5251846026517,1306.302710785873,2785.5563722887755,3263.60312253865,403.6271503681418,635.8860179220205,2104.2683683002165,2959.5462782387244,969.7256712528538,1654.8050319248944
900000,2690.8014026150004,589.4072180090791,2620.9658881030505,1313.7832054626153,2329.1035605110756,3024.3047910902997,457.45947330974474,733.1666747108559,2183.108909844875,3077.9136203353187,972.769745209739,1675.4214000054355
1000000,2740.501255059,808.2666078336617,2584.762609965389,1406.793157821378,2368.6267452683246,3070.364523133175,618.2434284070222,1008.8078296165153,2172.4875474909913,3011.7494287411578,1050.607324220697,1774.0099063419211
