,sac,ddpg,ppo,trpo,sac_lower,sac_upper,ddpg_lower,ddpg_upper,ppo_lower,ppo_upper,trpo_lower,trpo_upper
0,155.42859265466666,197.17898073795726,303.0287180850388,104.2755793481744,122.20170868600002,192.17286151563331,158.22496225944533,238.7344180258942,250.46076653793713,359.053491126012,95.0565326249834,113.85696859136377
100000,564.2628036919999,160.56085381436802,303.0287180850388,247.99619789490052,534.7999581095333,591.8638560568334,118.26922960375296,205.17711851001465,250.04362199830314,358.7030311806964,227.3233190480993,269.03635331673746
200000,1434.383206572,167.8648458100957,1153.5030615557,322.2864016652357,1144.6717095196002,1772.1490541672997,121.279108559494,219.76290732531683,1024.7967643264801,1292.5108945003676,300.2375379171107,343.57559474471725
300000,2477.4293350133335,170.88543334025647,1695.585901548993,360.0416716295735,2053.2025297516334,2900.5213889109,124.73639720920666,222.63647077594607,1433.5461309895807,1982.7620429284293,339.5990463702964,380.5760027134328
400000,3696.7260985226667,169.03629073518738,2109.3205484018936,390.5534214304986,3331.914592036767,4043.9505353911663,124.4307747387811,217.49036314221087,1741.4808019715304,2501.85706601331,372.4680830329471,410.08070925951887
500000,3860.286603365333,179.90176853276543,2429.4846116420263,415.56664001323526,3329.9438187427663,4344.298809359767,134.60175549349316,229.70390806597428,2008.4266850498684,2873.804958047165,398.86081993485425,433.5255768190019
600000,3685.238341330666,178.16453104128192,2599.679954889677,441.90583018952225,3202.255085790767,4156.919519348834,134.20618640119605,225.398574825881,2129.028004293336,3078.0855755427942,420.67530634353466,464.4068893455059
700000,4192.727417909333,180.5444941751488,2784.3056575769383,456.6707969654583,3942.156442116334,4461.689112587467,134.85200099962827,230.6471705683569,2282.8146356849415,3297.116318493546,435.2491934957075,479.78530479106865
800000,4620.689094521334,180.24532776539314,2942.030639211683,462.2817868484889,4361.532931240867,4848.435347248567,134.73433894655983,230.9726666397907,2380.006678506768,3513.8185647298046,442.57754071151527,480.574916619063
900000,4371.430932457334,180.13066873669086,3036.838842960395,479.4415872425806,3681.878458421867,4934.776598974401,134.70517181050215,229.62692045909668,2456.096363434325,3634.6489989356032,459.45290368507096,500.2516047449605
1000000,5073.735718534666,180.11817032899128,3158.8559274978556,501.22240563997514,4875.740571870433,5258.673177974701,134.3112705004845,230.92331922741977,2554.2323289135975,3769.4163956897232,477.95896955078047,524.4979886833987
1100000,4652.045358490666,180.0533152174481,3339.745821167684,507.97681786482286,4272.925254466999,4979.352661395835,135.51470657749186,229.03944846568965,2670.1536048043977,3991.793473999264,487.2249838842343,529.7929686716984
1200000,4815.755573494666,179.42477214253887,3389.6343895187943,514.6897014650882,4468.043946743001,5132.790946582567,134.23201597774107,228.12042047263552,2740.2287106691138,4004.7811992535844,489.21416015252316,540.8773876983288
1300000,4837.1061726493335,179.8798602935432,3392.2302254134133,524.9975235702191,4431.365587912833,5183.971764177799,134.88416755831273,229.30442358986858,2719.9812911732733,4041.6482518297266,498.2787580240976,551.4085297765065
1400000,4553.471757417333,181.84983786542082,3428.0548138460463,539.6313353446114,4069.071576424866,4927.801011498766,137.37285119215167,230.75262987944558,2803.7316454691863,4007.8910494222637,514.8485408854334,563.5839928606674
1500000,4714.692199437334,182.49859267598097,3542.8187532363977,544.7745411767463,4316.452202934234,5082.7147975203,137.70561823685983,230.77375619192813,2858.1076572226693,4176.492356955133,516.6094591158925,574.3250921410031
1600000,5385.292804522667,184.94526256842698,3610.070688191887,553.7984606360817,5074.7424570709,5651.914536078733,138.86249228464735,235.05921772812331,2912.9879708122494,4278.431793646483,522.568412762077,587.2636362367764
1700000,5020.023748253332,183.9244930473333,3698.6574122783713,568.1325709681745,4211.2126608122,5634.523694108832,138.54343381635763,233.45825729813316,2918.5648421792566,4438.560704205797,538.1014156461498,598.2501983406847
1800000,5559.468374610666,182.48676889874898,3692.2731971478115,575.6566794479027,5261.516507675235,5824.9095007246,137.6584495710642,230.155223009141,2914.278048782663,4422.671802628126,546.940428476117,604.4449978898238
1900000,5560.060976228001,183.64125957043,3755.8167613799355,589.2323094141785,5218.320418231233,5881.991299945933,138.18608250825343,232.52736803262493,2973.628604262032,4482.375720582558,556.2245939479451,622.4522634471343
2000000,5155.56013206,183.5098205440512,3859.987175525269,598.755974056793,4379.578419552035,5756.865440671867,138.48926848632064,231.4660098885572,3082.932164321523,4585.50700152875,567.7366265261577,630.5502547891801
