,sac,ddpg,ppo,trpo,sac_lower,sac_upper,ddpg_lower,ddpg_upper,ppo_lower,ppo_upper,trpo_lower,trpo_upper
0,26.845565874,16.779526995470903,281.22584191419384,-0.7533886647927621,0.2703503179000028,67.2543827196,7.7767834604818065,28.93490969836147,206.3130233843499,362.36867782373366,-5.312804654715451,5.317881466540303
100000,384.78923065400005,281.5834016814002,281.22584191419384,241.3996376866408,318.8584947340001,452.66125443,220.00518544067987,345.75670964531264,206.31689368646994,363.7536247190604,190.8680482559091,303.7504524331026
200000,1305.931515406,224.93786075765047,1090.084037545293,321.9177835068748,975.2434181381502,1633.8739812129,161.3550487668442,301.1519702476394,846.813404942943,1368.8787758647477,280.6265447347662,375.94062972048584
300000,2223.66936009,186.07318855472593,1728.3620018590125,413.7248915085678,1706.3186675463005,2706.6564456095502,139.64179910941417,241.6734253571132,1235.9290276374652,2316.9624149339397,354.2833527274116,488.05281713671195
400000,2377.0072127179997,192.2260655379895,2133.678586622484,502.00596645386037,1724.4066097897999,3040.2794421797,149.4700630002742,238.1532248508734,1558.8403219972124,2775.860678624044,441.4104496053062,572.1975816864839
500000,3397.6896549859994,262.0947396635776,2311.9647818616486,599.2661467060193,2912.5854047009,3794.7133199659997,208.51997562129068,331.5927239521994,1689.169612023119,3007.3339310097467,520.4721262271817,687.2872236566199
600000,3789.894121356,318.74322015570726,2492.0353383844667,734.8604929741973,3363.0027367720004,4192.961254937851,247.9635043300691,389.49686732223745,1828.3479845598372,3219.848643059945,627.0973771772982,861.7382105104933
700000,3823.5677380580005,512.024323713304,2567.210159298919,858.5091252453674,3426.2897584059497,4196.67983945615,351.1694224603348,738.3188822325134,1883.4122507006443,3335.554771346552,743.9968105213253,975.1070835256384
800000,4122.149854184001,679.00160482443,2764.616571474783,987.5931117784505,3768.362311056,4483.649394892001,525.8919931103666,849.1422982662568,2011.648120775809,3560.9755125265765,841.1922894003898,1137.8972104190493
900000,4037.587973452,714.1987036257143,2863.3664687851324,1089.4940892497211,3660.2887279436504,4421.0742587039995,504.4187134188624,982.2989809235058,2095.3361811503582,3673.495420424895,932.7503328157921,1246.3482182800274
1000000,4444.267392637999,893.2290410476211,2901.5277495050223,1192.7512485435725,4184.441874916,4730.08027722915,687.3363541234993,1109.5582305828718,2133.884280479475,3703.3721631271146,1015.0593914155778,1371.6266491931883
